"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Aux,5137,ser,5137,VSIP3S0,5137,"Altadill_Judit_CA.eaf"
TimeInterval,5597,dia,5597,NCMS000,5597,"Altadill_Judit_CA.eaf"
Location,6517,passeig,6517,NCMS000,6517,"Altadill_Judit_CA.eaf"
Location,7207,platja,7207,NCFS000,7207,"Altadill_Judit_CA.eaf"
Human,7897,parella,7897,NCFS000,7897,"Altadill_Judit_CA.eaf"
Walking,8127,passejar,8127,VMIP3S0,8127,"Altadill_Judit_CA.eaf"
Animal,8587,gos,8587,NCMS000,8587,"Altadill_Judit_CA.eaf"
Human,9277,noi,9277,NCMS000,9277,"Altadill_Judit_CA.eaf"
Walking,9507,fer_fúting,9507,VMIP3S0,9507,"Altadill_Judit_CA.eaf"
Animal,10197,gos,10197,NCMS000,10197,"Altadill_Judit_CA.eaf"
Motion,10657,aturar,10657,VMIP3S0,10657,"Altadill_Judit_CA.eaf"
Smelling,11117,ensumar,11117,VMN0000,11117,"Altadill_Judit_CA.eaf"
Location,11577,terra,11577,NCFS000,11577,"Altadill_Judit_CA.eaf"
TimeInterval,12267,de_seguida,12267,RG,12267,"Altadill_Judit_CA.eaf"
Walking,12497,tornar,12497,VMIP3S0,12497,"Altadill_Judit_CA.eaf"
-,13417,amo,13417,NCMS000,13417,"Altadill_Judit_CA.eaf"
BodyMotion,14337,girar,14337,VMIP3S0,14337,"Altadill_Judit_CA.eaf"
Process,14797,rebre,14797,VMN0000,14797,"Altadill_Judit_CA.eaf"
Location,23199,carretera,23199,NCFS000,23199,"Altadill_Judit_CA.eaf"
Location,23681,davant,23681,RG,23681,"Altadill_Judit_CA.eaf"
Location,24404,passeig,24404,NCMS000,24404,"Altadill_Judit_CA.eaf"
-,25127,bmw,25127,NCMN000,25127,"Altadill_Judit_CA.eaf"
A-ColorAttribute,25368,blanc,25368,AQ0MS0,25368,"Altadill_Judit_CA.eaf"
Motion,25850,aturar,25850,VMIP3S0,25850,"Altadill_Judit_CA.eaf"
Aux,53829,ser,53829,VSIP3S0,53829,"Altadill_Judit_CA.eaf"
Human,54265,home,54265,NCMS000,54265,"Altadill_Judit_CA.eaf"
-,55137,any,55137,NCMP000,55137,"Altadill_Judit_CA.eaf"
BodyPart,55791,cabell,55791,NCMP000,55791,"Altadill_Judit_CA.eaf"
A-ColorAttribute,56009,castany,56009,AQ0MP0,56009,"Altadill_Judit_CA.eaf"
BodyPart,56663,barba,56663,NCFS000,56663,"Altadill_Judit_CA.eaf"
-,57099,dur,57099,VMIP3S0,57099,"Altadill_Judit_CA.eaf"
Clothing,57317,americana,57317,NCFS002,57317,"Altadill_Judit_CA.eaf"
Clothing,57753,corbata,57753,NCFS000,57753,"Altadill_Judit_CA.eaf"
Object,59385,maletí,59385,NCMS000,59385,"Altadill_Judit_CA.eaf"
Putting,60557,posar,60557,VMIP3S0,60557,"Altadill_Judit_CA.eaf"
Clothing,61143,ulleres_de_sol,61143,NCFP000,61143,"Altadill_Judit_CA.eaf"
BodyMotion,62022,posar,62022,VMIP3S0,62022,"Altadill_Judit_CA.eaf"
BodyPart,62608,mà,62608,NCFP000,62608,"Altadill_Judit_CA.eaf"
Clothing,63487,butxaca,63487,NCFP000,63487,"Altadill_Judit_CA.eaf"
StateOfMind,65675,sospirar,65675,VMIP3S0,65675,"Altadill_Judit_CA.eaf"
Aux,66314,ser,66314,VSIP3S0,66314,"Altadill_Judit_CA.eaf"
Human,67379,empresari,67379,NCMS000,67379,"Altadill_Judit_CA.eaf"
Walking,67805,caminar,67805,VMIP3S0,67805,"Altadill_Judit_CA.eaf"
Object,68444,bossa,68444,NCFS000,68444,"Altadill_Judit_CA.eaf"
