"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Location,4584,playa,4584,NCFS000,4584,"Castro_Aina_ES.eaf"
Human,5158,hombre,5158,NCMS000,5158,"Castro_Aina_ES.eaf"
Walking,5445,correr,5445,VMIP3S0,5445,"Castro_Aina_ES.eaf"
Human,6306,pareja,6306,NCFS000,6306,"Castro_Aina_ES.eaf"
Walking,6593,pasear,6593,VMIP3S0,6593,"Castro_Aina_ES.eaf"
Animal,7454,perro,7454,NCMS000,7454,"Castro_Aina_ES.eaf"
-,29471,coche,29471,NCMS000,29471,"Castro_Aina_ES.eaf"
Putting,29732,aparcar,29732,VMIP3S0,29732,"Castro_Aina_ES.eaf"
Location,30515,playa,30515,NCFS000,30515,"Castro_Aina_ES.eaf"
Human,53307,conductor,53307,NCMS000,53307,"Castro_Aina_ES.eaf"
Aux,53614,ser,53614,VSIP3S0,53614,"Castro_Aina_ES.eaf"
Human,54228,hombre,54228,NCMS000,54228,"Castro_Aina_ES.eaf"
Time,56070,año,56070,NCMP000,56070,"Castro_Aina_ES.eaf"
Dressing,56684,llevar,56684,VMIP3S0,56684,"Castro_Aina_ES.eaf"
Clothing,57298,traje,57298,NCMS000,57298,"Castro_Aina_ES.eaf"
Clothing,57912,corbata,57912,NCFS000,57912,"Castro_Aina_ES.eaf"
Putting,58833,guardar,58833,VMIP3S0,58833,"Castro_Aina_ES.eaf"
Object,59447,móvil,59447,NCMS000,59447,"Castro_Aina_ES.eaf"
Clothing,60368,bolsillo,60368,NCMS000,60368,"Castro_Aina_ES.eaf"
Clothing,61289,americana,61289,NCFS000,61289,"Castro_Aina_ES.eaf"
Putting,61903,sacar,61903,VMIP3S0,61903,"Castro_Aina_ES.eaf"
Clothing,62517,gafas,62517,NCFP000,62517,"Castro_Aina_ES.eaf"
-,63131,sol,63131,NCMS000,63131,"Castro_Aina_ES.eaf"
Human,65587,empresario,65587,NCMS000,65587,"Castro_Aina_ES.eaf"
Aux,67364,ir,67364,VMIP3S0,67364,"Castro_Aina_ES.eaf"
