"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
TimeInterval,4240,dia,4240,NCMS000,4240,"AccessFriendly-CA.eaf"
A-ColorAttribute,4505,gris,4505,AQ0MS0,4505,"AccessFriendly-CA.eaf"
A-RadiatingLight,5035,ennuvolar,5035,VMP00SM,5035,"AccessFriendly-CA.eaf"
Location,6095,mar,6095,NCCS000,6095,"AccessFriendly-CA.eaf"
Location,7155,carretera,7155,NCFS000,7155,"AccessFriendly-CA.eaf"
Location,7950,passeig,7950,NCMS000,7950,"AccessFriendly-CA.eaf"
-,8480,arbre,8480,NCMP000,8480,"AccessFriendly-CA.eaf"
Location,9805,fons,9805,NCMN000,9805,"AccessFriendly-CA.eaf"
-,10600,línia,10600,NCFS000,10600,"AccessFriendly-CA.eaf"
Location,11395,horitzó,11395,NCMS000,11395,"AccessFriendly-CA.eaf"
Human,12190,parella,12190,NCFS000,12190,"AccessFriendly-CA.eaf"
Walking,12455,passejar,12455,VMIP3S0,12455,"AccessFriendly-CA.eaf"
Animal,13250,gos,13250,NCMS000,13250,"AccessFriendly-CA.eaf"
Human,14575,persona,14575,NCFS000,14575,"AccessFriendly-CA.eaf"
Walking,14840,córrer,14840,VMIP3S0,14840,"AccessFriendly-CA.eaf"
Process,20980,aparèixer,20980,VMIP3S0,20980,"AccessFriendly-CA.eaf"
FilmLanguage,21514,títol,21514,NCMS000,21514,"AccessFriendly-CA.eaf"
-,22048,anglès,22048,NCMS000,22048,"AccessFriendly-CA.eaf"
-,22582,what,22582,NCFS000,22582,"AccessFriendly-CA.eaf"
-,22849,happens,22849,NCMP000,22849,"AccessFriendly-CA.eaf"
-,23116,while,23116,NCMS000,23116,"AccessFriendly-CA.eaf"
Motion,23917,aturar,23917,VMIP3S0,23917,"AccessFriendly-CA.eaf"
-,24451,cotxe,24451,NCMS000,24451,"AccessFriendly-CA.eaf"
