"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Walking,12455,passejar,12455,VMIP3S0,12455,"What-AccessFriendly-CA.eaf"
Walking,14840,córrer,14840,VMM02S0,14840,"What-AccessFriendly-CA.eaf"
Process,20713,aparèixer,20713,VMIP3S0,20713,"What-AccessFriendly-CA.eaf"
PositionalAttribute,23650,aturar,23650,VMIP3S0,23650,"What-AccessFriendly-CA.eaf"
Communication,26053,parlar,26053,VMIP3S0,26053,"What-AccessFriendly-CA.eaf"
Communication,53236,parlar,53236,VMII3S0,53236,"What-AccessFriendly-CA.eaf"
Putting,59700,guardar,59700,VMIP3S0,59700,"What-AccessFriendly-CA.eaf"
Putting Dressing,61316,posar,61316,VMIP3S0,61316,"What-AccessFriendly-CA.eaf"
IntentionalPsychologicalProcess,67430,llegir,67430,VMIP3S0,67430,"What-AccessFriendly-CA.eaf"
BodyMotion,96497,estirar,96497,VMIP3S0,96497,"What-AccessFriendly-CA.eaf"
Putting Dressing,99981,anar,99981,VMIP3S0,99981,"What-AccessFriendly-CA.eaf"
Putting Dressing,101857,anar,101857,VMII3S0,101857,"What-AccessFriendly-CA.eaf"
BodyMotion,104001,posar,104001,VMIP3S0,104001,"What-AccessFriendly-CA.eaf"
Touching,106413,tocar,106413,VMIP3S0,106413,"What-AccessFriendly-CA.eaf"
BodyMotion,162466,aixecar,162466,VMIP3S0,162466,"What-AccessFriendly-CA.eaf"
Putting Dressing,163022,portar,163022,VMIP3S0,163022,"What-AccessFriendly-CA.eaf"
Motion,164968,acostar,164968,VMIP3S0,164968,"What-AccessFriendly-CA.eaf"
Motion,166636,girar,166636,VMIP3S0,166636,"What-AccessFriendly-CA.eaf"
Motion,167192,tornar,167192,VMIP3S0,167192,"What-AccessFriendly-CA.eaf"
Seeing,168304,mirar,168304,VMG0000,168304,"What-AccessFriendly-CA.eaf"
Motion,170250,aturar,170250,VMIP3S0,170250,"What-AccessFriendly-CA.eaf"
Walking,170806,fer_passes,170806,VMIP3S0,170806,"What-AccessFriendly-CA.eaf"
Motion,176636,aturar,176636,VMIP3S0,176636,"What-AccessFriendly-CA.eaf"
Walking,179502,fer_passes,179502,VMIP3S0,179502,"What-AccessFriendly-CA.eaf"
Seeing,188674,albirar,188674,VMIP3S0,188674,"What-AccessFriendly-CA.eaf"
possesses,193452,tenir,193452,VMIP3S0,193452,"What-AccessFriendly-CA.eaf"
Motion,208217,tornar,208217,VMIP3S0,208217,"What-AccessFriendly-CA.eaf"
Putting Dressing,210161,posar,210161,VMIP3S0,210161,"What-AccessFriendly-CA.eaf"
EndFn,212429,parar,212429,VMIP3S0,212429,"What-AccessFriendly-CA.eaf"
Seeing,213077,mirar,213077,VMN0000,213077,"What-AccessFriendly-CA.eaf"
Walking,220757,caminar,220757,VMIP3S0,220757,"What-AccessFriendly-CA.eaf"
Putting Dressing,222675,portar,222675,VMIP3S0,222675,"What-AccessFriendly-CA.eaf"
Motion,227597,pujar,227597,VMIP3S0,227597,"What-AccessFriendly-CA.eaf"
Touching,248664,vorejar,248664,VMIP3S0,248664,"What-AccessFriendly-CA.eaf"
Process,252840,obrar,252840,VMIP1S0,252840,"What-AccessFriendly-CA.eaf"
Process,255972,acabar,255972,VMIP3S0,255972,"What-AccessFriendly-CA.eaf"
IntentionalProcess,256320,fer,256320,VMG0000,256320,"What-AccessFriendly-CA.eaf"
IntentionalPsychologicalProcess,267670,llegir,267670,VMIP3S0,267670,"What-AccessFriendly-CA.eaf"
located,270145,estar,270145,VMIP3S0,270145,"What-AccessFriendly-CA.eaf"
BodyMotion,275645,moure,275645,VMIP3S0,275645,"What-AccessFriendly-CA.eaf"
Putting Dressing,277020,vestir,277020,VMIP3S0,277020,"What-AccessFriendly-CA.eaf"
Putting Dressing,280045,portar,280045,VMIP3S0,280045,"What-AccessFriendly-CA.eaf"
possesses,284720,tenir,284720,VMIP3S0,284720,"What-AccessFriendly-CA.eaf"
Putting,287442,deixar,287442,VMIP3S0,287442,"What-AccessFriendly-CA.eaf"
Removing,289850,treure,289850,VMIP3S0,289850,"What-AccessFriendly-CA.eaf"
Process,293161,activar,293161,VMIP3S0,293161,"What-AccessFriendly-CA.eaf"
Process,293763,obrar,293763,VMIP1S0,293763,"What-AccessFriendly-CA.eaf"
Selecting,295870,seleccionar,295870,VMIP3S0,295870,"What-AccessFriendly-CA.eaf"
BodyMotion,399248,aixecar,399248,VMIP3S0,399248,"What-AccessFriendly-CA.eaf"
Putting,400091,guardar,400091,VMIP3S0,400091,"What-AccessFriendly-CA.eaf"
Motion,405430,allunyar,405430,VMIP3S0,405430,"What-AccessFriendly-CA.eaf"
