"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
A-RadiatingLight,4350,partly-cloudy,4350,JJ,4350,"ADAssociates-US.eaf"
Location,4645,sky,4645,NN,4645,"ADAssociates-US.eaf"
A-SubjectiveAssessment,5530,wide,5530,JJ,5530,"ADAssociates-US.eaf"
A-SubjectiveAssessment,6120,sandy,6120,JJ,6120,"ADAssociates-US.eaf"
Location,6415,beachfront,6415,NN,6415,"ADAssociates-US.eaf"
Location,7005,parking,7005,NN,7005,"ADAssociates-US.eaf"
Location,7300,area,7300,NN,7300,"ADAssociates-US.eaf"
Human,8185,jogger,8185,NN,8185,"ADAssociates-US.eaf"
Walking,8480,run,8480,VBZ,8480,"ADAssociates-US.eaf"
Location,9365,right,9365,NN,9365,"ADAssociates-US.eaf"
Location,10545,left,10545,NN,10545,"ADAssociates-US.eaf"
Human,11135,couple,11135,NN,11135,"ADAssociates-US.eaf"
Walking,11430,walk,11430,VBZ,11430,"ADAssociates-US.eaf"
A-SubjectiveAssessment,12020,large,12020,JJ,12020,"ADAssociates-US.eaf"
Animal,12315,dog,12315,NN,12315,"ADAssociates-US.eaf"
FilmLanguage,19251,title,19251,NN,19251,"ADAssociates-US.eaf"
Process,20544,happen,20544,VBZ,20544,"ADAssociates-US.eaf"
Motion,27670,emerge,27670,VBG,27670,"ADAssociates-US.eaf"
A-ColorAttribute,28420,white,28420,JJ,28420,"ADAssociates-US.eaf"
-,28670,sedan,28670,NN,28670,"ADAssociates-US.eaf"
Human,29420,man,29420,NN,29420,"ADAssociates-US.eaf"
A-SubjectiveAssessment,30170,trim,30170,JJ,30170,"ADAssociates-US.eaf"
A-ColorAttribute,30670,reddish-brown,30670,JJ,30670,"ADAssociates-US.eaf"
BodyPart,30920,beard,30920,NN,30920,"ADAssociates-US.eaf"
Touching,31170,hold,31170,VBZ,31170,"ADAssociates-US.eaf"
Object,31670,phone,31670,NN,31670,"ADAssociates-US.eaf"
BodyPart,32420,ear,32420,NN,32420,"ADAssociates-US.eaf"
Putting,32920,pull,32920,VBZ,32920,"ADAssociates-US.eaf"
Object,33420,briefcase,33420,NN,33420,"ADAssociates-US.eaf"
-,34420,car,34420,NN,34420,"ADAssociates-US.eaf"
Dressing,52000,wear,52000,VBG,52000,"ADAssociates-US.eaf"
A-ColorAttribute,52480,dark,52480,JJ,52480,"ADAssociates-US.eaf"
Clothing,52720,suit,52720,NN,52720,"ADAssociates-US.eaf"
