"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
-,4240,dia,4240,NCMS000,4240,"What-AccessFriendly-CA.eaf"
A-ColorAttribute,4505,gris,4505,AQ0MS0,4505,"What-AccessFriendly-CA.eaf"
-,5035,ennuvolar,5035,VMP00SM,5035,"What-AccessFriendly-CA.eaf"
-,6095,mar,6095,NCCS000,6095,"What-AccessFriendly-CA.eaf"
-,7155,carretera,7155,NCFS000,7155,"What-AccessFriendly-CA.eaf"
-,7950,passeig,7950,NCMS000,7950,"What-AccessFriendly-CA.eaf"
-,8480,arbre,8480,NCMP000,8480,"What-AccessFriendly-CA.eaf"
-,9805,fons,9805,NCMN000,9805,"What-AccessFriendly-CA.eaf"
-,10600,línia,10600,NCFS000,10600,"What-AccessFriendly-CA.eaf"
-,11395,horitzó,11395,NCMS000,11395,"What-AccessFriendly-CA.eaf"
-,12190,parella,12190,NCFS000,12190,"What-AccessFriendly-CA.eaf"
Walking,12455,passejar,12455,VMIP3S0,12455,"What-AccessFriendly-CA.eaf"
-,13250,gos,13250,NCMS000,13250,"What-AccessFriendly-CA.eaf"
-,14575,persona,14575,NCFS000,14575,"What-AccessFriendly-CA.eaf"
Walking,14840,córrer,14840,VMM02S0,14840,"What-AccessFriendly-CA.eaf"
Process,20713,aparèixer,20713,VMIP3S0,20713,"What-AccessFriendly-CA.eaf"
-,21247,títol,21247,NCMS000,21247,"What-AccessFriendly-CA.eaf"
-,21781,anglès,21781,NCMS000,21781,"What-AccessFriendly-CA.eaf"
-,22315,what,22315,NCFS000,22315,"What-AccessFriendly-CA.eaf"
-,22582,happens,22582,NCMP000,22582,"What-AccessFriendly-CA.eaf"
-,22849,while,22849,NCMS000,22849,"What-AccessFriendly-CA.eaf"
PositionalAttribute,23650,aturar,23650,VMIP3S0,23650,"What-AccessFriendly-CA.eaf"
-,24184,cotxe,24184,NCMS000,24184,"What-AccessFriendly-CA.eaf"
null,24451,esportiu,24451,AQ0MS0,24451,"What-AccessFriendly-CA.eaf"
A-ColorAttribute,24985,blanc,24985,AQ0MS0,24985,"What-AccessFriendly-CA.eaf"
-,25786,conductor,25786,NCMS000,25786,"What-AccessFriendly-CA.eaf"
Communication,26053,parlar,26053,VMIP3S0,26053,"What-AccessFriendly-CA.eaf"
-,26854,mòbil,26854,NCMS000,26854,"What-AccessFriendly-CA.eaf"
Communication,53236,parlar,53236,VMII3S0,53236,"What-AccessFriendly-CA.eaf"
-,53842,home,53842,NCMS000,53842,"What-AccessFriendly-CA.eaf"
-,54044,haver,54044,VAIP3S0,54044,"What-AccessFriendly-CA.eaf"
Motion,54246,sortir,54246,VMP00SM,54246,"What-AccessFriendly-CA.eaf"
-,54852,cotxe,54852,NCMS000,54852,"What-AccessFriendly-CA.eaf"
-,55458,cartera,55458,NCFS000,55458,"What-AccessFriendly-CA.eaf"
BodyPart,56064,mà,56064,NCFS000,56064,"What-AccessFriendly-CA.eaf"
-,56670,haver,56670,VAIP3S0,56670,"What-AccessFriendly-CA.eaf"
Putting,56872,ficar,56872,VMP00SM,56872,"What-AccessFriendly-CA.eaf"
-,57478,maleter,57478,NCMS000,57478,"What-AccessFriendly-CA.eaf"
-,58084,haver,58084,VAIP3S0,58084,"What-AccessFriendly-CA.eaf"
Removing,58286,treure,58286,VMP00SM,58286,"What-AccessFriendly-CA.eaf"
-,58690,bossa,58690,NCFS000,58690,"What-AccessFriendly-CA.eaf"
-,59094,ratlla,59094,NCFP000,59094,"What-AccessFriendly-CA.eaf"
Putting,59700,guardar,59700,VMIP3S0,59700,"What-AccessFriendly-CA.eaf"
-,60104,mòbil,60104,NCMS000,60104,"What-AccessFriendly-CA.eaf"
Cloth,60710,butxaca,60710,NCFS000,60710,"What-AccessFriendly-CA.eaf"
Putting Dressing,61316,posar,61316,VMIP3S0,61316,"What-AccessFriendly-CA.eaf"
Cloth,61720,ulleres_de_sol,61720,NCFP000,61720,"What-AccessFriendly-CA.eaf"
-,65334,sobreimprimir,65334,VMP00SM,65334,"What-AccessFriendly-CA.eaf"
-,66382,imatge,66382,NCFS000,66382,"What-AccessFriendly-CA.eaf"
-,66644,congelar,66644,VMP00SF,66644,"What-AccessFriendly-CA.eaf"
IntentionalPsychologicalProcess,67430,llegir,67430,VMIP3S0,67430,"What-AccessFriendly-CA.eaf"
-,68740,empresari,68740,NCMS000,68740,"What-AccessFriendly-CA.eaf"
BodyMotion,96497,estirar,96497,VMIP3S0,96497,"What-AccessFriendly-CA.eaf"
-,98105,tovallola,98105,NCFS000,98105,"What-AccessFriendly-CA.eaf"
-,99177,sorra,99177,NCFS000,99177,"What-AccessFriendly-CA.eaf"
Putting Dressing,99981,anar,99981,VMIP3S0,99981,"What-AccessFriendly-CA.eaf"
BodyPart,100785,tors,100785,NCMS000,100785,"What-AccessFriendly-CA.eaf"
A-Putting Dressing,101053,despullar,101053,VMP00SM,101053,"What-AccessFriendly-CA.eaf"
Putting Dressing,101857,anar,101857,VMII3S0,101857,"What-AccessFriendly-CA.eaf"
A-Putting Dressing,102125,vestit,102125,VMP00SM,102125,"What-AccessFriendly-CA.eaf"
Cloth,102661,americana,102661,NCFS000,102661,"What-AccessFriendly-CA.eaf"
Cloth,103197,corbata,103197,NCFS000,103197,"What-AccessFriendly-CA.eaf"
BodyMotion,104001,posar,104001,VMIP3S0,104001,"What-AccessFriendly-CA.eaf"
BodyPart,104537,mà,104537,NCFP000,104537,"What-AccessFriendly-CA.eaf"
BodyPart,105341,cara,105341,NCFS000,105341,"What-AccessFriendly-CA.eaf"
Touching,106413,tocar,106413,VMIP3S0,106413,"What-AccessFriendly-CA.eaf"
-,106949,sorra,106949,NCFS000,106949,"What-AccessFriendly-CA.eaf"
BodyPart,107753,dit,107753,NCMP000,107753,"What-AccessFriendly-CA.eaf"
