Target,AccessFriendly,Aptent,DescriptiveFerrer,LB,MultiSignes,Plurals,SBT-Carme,SDI-Media,Sonidos,Subtil
AccessFriendly,1,0.477124183,0.4971842317,0.482088646,0.4940047962,0.5035183737,0.5064247921,0.4470134875,0.4981357196,0.4815724816
Aptent,0.477124183,1,0.5214521452,0.477124183,0.5402650357,0.5289256198,0.5289256198,0.5289256198,0.5289256198,0.5214521452
DescriptiveFerrer,0.4971842317,0.5214521452,1,0.4981862152,0.4811940299,0.5520995334,0.554887218,0.44784689,0.4940652819,0.5993485342
LB,0.482088646,0.477124183,0.4981862152,1,0.5646945647,0.5100591716,0.5109573241,0.38647343,0.5285388128,0.4779411765
MultiSignes,0.4940047962,0.5402650357,0.4811940299,0.5646945647,1,0.4850964348,0.5150997151,0.3782312925,0.5019740553,0.4609800363
Plurals,0.5035183737,0.5289256198,0.5520995334,0.5100591716,0.4850964348,1,0.5664556962,0.4514338575,0.5086705202,0.5664556962
SBT-Carme,0.5064247921,0.5289256198,0.554887218,0.5109573241,0.5150997151,0.5664556962,1,0.4213333333,0.5350140056,0.5810397554
SDI-Media,0.4470134875,0.5289256198,0.44784689,0.38647343,0.3782312925,0.4514338575,0.4213333333,1,0.4409448819,0.4574780059
Sonidos,0.4981357196,0.5289256198,0.4940652819,0.5285388128,0.5019740553,0.5086705202,0.5350140056,0.4409448819,1,0.4917043741
Subtil,0.4815724816,0.5214521452,0.5993485342,0.4779411765,0.4609800363,0.5664556962,0.5810397554,0.4574780059,0.4917043741,1
