Audiodescripción_Kaleidoscope	audiodescripción_kaleidoscope	NCMS000	1	0	29	Authoring
2016	2016	Z	1	30	34	-
.	.	Fp	1	34	35	-
Amanece	amanecer	VMIP3S0	0.994868	36	43	TimeInterval
en	en	SPS00	1	44	46	-
un	uno	DI0MS0	0.986987	47	49	-
paseo	paseo	NCMS000	0.87347	50	55	Location
marítimo	marítimo	AQ0MS0	1	56	64	A-PositionalAttribute
con	con	SPS00	1	65	68	-
la	el	DA0FS0	0.972146	69	71	-
playa	playa	NCFS000	1	72	77	-
a	a	SPS00	1	78	79	-
el	el	DA0MS0	1	79	80	-
fondo	fondo	NCMS000	1	81	86	Location
.	.	Fp	1	86	87	-
Una	uno	DI0FS0	0.951241	88	91	-
pareja	pareja	NCFS000	0.928571	92	98	-
pasea	pasear	VMIP3S0	0.994868	99	104	Walking
con	con	SPS00	1	105	108	-
un	uno	DI0MS0	0.986987	109	111	-
perro	perro	NCMS000	1	112	117	-
.	.	Fp	1	117	118	-
Un	uno	DI0MS0	0.986987	119	121	-
hombre	hombre	NCMS000	0.95679	122	128	-
hace_footing	hacer_footing	VMIP3S0	1	129	133	Walking
.	.	Fp	1	141	142	-

Sobre	sobre	SPS00	0.994203	150	155	-
fondo	fondo	NCMS000	1	156	161	FilmLanguage
blanco	blanco	AQ0MS0	0.59375	162	168	A-ColorAttribute
.	.	Fp	1	168	169	-

Un	uno	DI0MS0	0.986987	177	179	-
hombre	hombre	NCMS000	0.95679	180	186	-
trajeado	trajear	VMP00SM	1	187	195	A-Clothing
y	y	CC	0.999812	196	197	-
con	con	SPS00	1	198	201	-
corbata	corbata	NCFS000	1	202	209	Clothing
aparca	aparcar	VMIP3S0	0.994868	210	216	Motion
un	uno	DI0MS0	0.986987	217	219	-
coche	coche	NCMS000	0.964286	220	225	-
deportivo	deportivo	AQ0MS0	0.9	226	235	A-SubjectiveAssessmentAttribute
blanco	blanco	AQ0MS0	0.59375	236	242	A-ColorAttribute
y	y	CC	0.999812	243	244	-
sale	salir	VMIP3S0	0.788462	245	249	Motion
hablando	hablar	VMG0000	1	250	258	Communication
por	por	SPS00	1	259	262	-
teléfono	teléfono	NCMS000	1	263	271	-
.	.	Fp	1	271	272	-

Cuelga	colgar	VMIP3S0	0.846947	280	286	Process
.	.	Fp	1	286	287	-
Guardó	guardar	VMIS3S0	1	288	294	Process
un	uno	DI0MS0	0.986987	295	297	-
maletín	maletín	NCMS000	1	298	305	-
y	y	CC	0.999812	306	307	-
sacó	sacar	VMIS3S0	1	308	312	Process
una	uno	DI0FS0	0.951241	313	316	-
bolsa	bolsa	NCFS000	1	317	322	-
de	de	SPS00	0.999919	323	325	-
rayas	raya	NCFP000	0.666667	326	331	-
de	de	SPS00	1	332	333	-
el	el	DA0MS0	1	334	335	-
maletero	maletero	NCMS000	1	336	344	Location
.	.	Fp	1	344	345	-
Mira	mirar	VMIS3S0	0.666667	346	350	Seeing
la	el	DA0FS0	0.972146	351	353	-
playa	playa	NCFS000	1	354	359	Location
,	,	Fc	1	359	360	-
suspira	suspirar	VMIP3S0	0.894868	361	368	StateOfMind
y	y	CC	0.999812	369	370	-
se	se	P00CN000	0.465602	371	373	-
pone	poner	VMIP3S0	1	374	378	Process
unas	uno	DI0FP0	0.925926	379	383	-
gafas	gafas	NCFP000	0.687464	384	389	Clothing
de	de	SPS00	0.999919	390	392	-
sol	sol	NCMS000	1	393	396	-
.	.	Fp	1	396	397	-

James	james	NP00G00	1	405	410	-
,	,	Fc	1	410	411	-
el	el	DA0MS0	1	412	414	-
empresario	empresario	NCMS000	1	415	425	-
.	.	Fp	1	425	426	-

Camina	caminar	VMIS3S0	0.25	434	440	Walking
por	por	SPS00	1	441	444	-
el	el	DA0MS0	1	445	447	-
paseo	paseo	NCMS000	0.87347	448	453	Location
llamando	llamar	VMG0000	1	454	462	Process
por	por	SPS00	1	463	466	-
el	el	DA0MS0	1	467	469	-
móvil	móvil	NCMS000	0.58648	470	475	-
.	.	Fp	1	475	476	-

Después	después	RG	1	484	491	TimeInterval
,	,	Fc	1	491	492	-
sin	sin	SPS00	1	493	496	-
ropa	ropa	NCFS000	1	497	501	Clothing
,	,	Fc	1	501	502	-
se	se	P00CN000	0.465602	503	505	-
tumba	tumbar	VMIP3S0	0.0238095	506	511	BodyMotion
sobre	sobre	SPS00	0.994203	512	517	-
una	uno	DI0FS0	0.951241	518	521	-
toalla	toalla	NCFS000	1	522	528	Location
en	en	SPS00	1	529	531	-
la	el	DA0FS0	0.972146	532	534	-
arena	arena	NCFS000	0.866667	535	540	Location
.	.	Fp	1	540	541	-

Se	se	P00CN000	0.465602	549	551	-
frota	frotar	VMIP3S0	0.994868	552	557	BodyMotion
los	el	DA0MP0	0.97623	558	561	-
ojos	ojo	NCMP000	1	562	566	BodyPart
y	y	CC	0.999812	567	568	-
extiende	extender	VMIP3S0	0.9	569	577	BodyMotion
sus	su	DP3CP0	0.998462	578	581	-
brazos	brazo	NCMP000	1	582	588	BodyPart
.	.	Fp	1	588	589	-

Mira	mirar	VMIS3S0	0.666667	597	601	Seeing
a	a	SPS00	0.99585	602	603	-
su	su	DP3CS0	1	604	606	-
alrededor	alrededor	NCMS000	0.1	607	616	Location

Cuelga	colgar	VMIP3S0	0.150743	624	630	Process
y	y	CC	0.999812	631	632	-
se	se	P00CN000	0.465602	633	635	-
levanta	levantar	VMIP3S0	0.9	636	643	BodyMotion
extrañado	extrañar	VMP00SM	1	644	653	A-StateOfMind
por	por	SPS00	1	654	657	-
el	el	DA0MS0	1	658	660	-
ruido	ruido	NCMS000	1	661	666	RadiatingSound
.	.	Fp	1	666	667	-
Camina	caminar	VMIS3S0	0.25	668	674	Walking
por	por	SPS00	1	675	678	-
la	el	DA0FS0	0.972146	679	681	-
orilla	orilla	NCFS000	0.846947	682	688	Location
y	y	CC	0.999812	689	690	-
la	el	DA0FS0	0.972146	691	693	-
arena	arena	NCFS000	0.866667	694	699	Location
mirando	mirar	VMG0000	1	700	707	Seeing
,	,	Fc	1	707	708	-
desconcertado	desconcertar	VMP00SM	1	709	722	A-StateOfMind
,	,	Fc	1	722	723	-
en	en	SPS00	1	724	726	-
todas	todo	DI0FP0	0.945312	727	732	-
direcciones	dirección	NCFP000	0.995706	733	744	Location
.	.	Fp	1	744	745	-

Lleva	llevar	VMIP3S0	0.975	753	758	Possesses
un	uno	DI0MS0	0.986987	759	761	-
bóxer	bóxer	NCMS000	1	762	767	Clothing
negro	negro	AQ0MS0	0.541667	768	773	A-ColorAttribute
.	.	Fp	1	773	774	-
Se	se	P00CN000	0.465602	775	777	-
para	para	VMIP3S0	0.998507	778	782	Motion
y	y	CC	0.999812	783	784	-
anda	andar	VMIP3S0	0.75	785	789	Motion
sobre	sobre	SPS00	0.994203	790	795	-
sus	su	DP3CP0	0.998462	796	799	-
propios	propio	AQ0MP0	0.884615	800	807	A-SubjectiveAssessmentAttribute
pasos	paso	NCMP000	0.944444	808	813	Location
preocupado	preocupar	VMP00SM	1	814	824	A-StateOfMind
por	por	SPS00	1	825	828	-
el	el	DA0MS0	1	829	831	-
ruido	ruido	NCMS000	1	832	837	RadiatingSound
.	.	Fp	1	837	838	-

Comienza	comenzar	VMIP3S0	0.928571	846	854	Aux
a	a	SPS00	0.99585	855	856	-
vestir	vestir	VMN0000	1	857	863	Clothing
se	se	PP3CN000	1	863	865	-
.	.	Fp	1	865	866	-

Después	después	RG	1	874	881	TimeInterval
,	,	Fc	1	881	882	-
vestido	vestir	VMP00SM	0.3	883	890	A-Clothing
con	con	SPS00	1	891	894	-
el	el	DA0MS0	1	895	897	-
traje	traje	NCMS000	0.75	898	903	Clothing
,	,	Fc	1	903	904	-
pero	pero	CC	0.998821	905	909	-
sin	sin	SPS00	1	910	913	-
la	el	DA0FS0	0.972146	914	916	-
corbata	corbata	NCFS000	1	917	924	Clothing
,	,	Fc	1	924	925	-
camina	caminar	VMIP3S0	0.75	926	932	Walking
por	por	SPS00	1	933	936	-
una	uno	DI0FS0	0.951241	937	940	-
arboleda	arboleda	NCFS000	1	941	949	Location
.	.	Fp	1	949	950	-

Sube	subir	VMIS3S0	0.25	958	962	Walking
por	por	SPS00	1	963	966	-
un	uno	DI0MS0	0.986987	967	969	-
sendero	sendero	NCMS000	1	970	977	Location
empinado	empinar	VMP00SM	1	978	986	A-SubjectiveAssessmentAttribute
.	.	Fp	1	986	987	-

Un	uno	DI0MS0	0.986987	995	997	-
hombre	hombre	NCMS000	0.95679	998	1004	-
de	de	SPS00	0.999919	1005	1007	-
pelo	pelo	NCMS000	0.958333	1008	1012	BodyPart
rizado	rizar	VMP00SM	0.691767	1013	1019	A-SubjectiveAssessmentAttribute
y	y	CC	0.999812	1020	1021	-
canoso	canoso	AQ0MS0	1	1022	1028	A-ColorAttribute
,	,	Fc	1	1028	1029	-
barba	barba	NCFS000	0.777778	1030	1035	BodyPart
desaliñada	desaliñar	VMP00SF	1	1036	1046	A-SubjectiveAssessmentAttribute
,	,	Fc	1	1046	1047	-
cadena	cadena	NCFS000	1	1048	1054	Clothing
de	de	SPS00	0.999919	1055	1057	-
plata	plata	NCFS000	1	1058	1063	-
a	a	SPS00	1	1064	1065	-
el	el	DA0MS0	1	1065	1066	-
cuello	cuello	NCMS000	1	1067	1073	BodyPart
,	,	Fc	1	1073	1074	-
camiseta	camiseta	NCFS000	1	1075	1083	Clothing
de	de	SPS00	0.999919	1084	1086	-
tirantes	tirante	NCMP000	0.342762	1087	1095	-
y	y	CC	0.999812	1096	1097	-
tatuajes	tatuaje	NCMP000	1	1098	1106	BodyPart
tamborilea	tamborilear	VMIP3S0	0.994867	1107	1117	BodyMotion
sus	su	DP3CP0	0.998462	1118	1121	-
dedos	dedo	NCMP000	1	1122	1127	BodyPart
en	en	SPS00	1	1128	1130	-
un	uno	DI0MS0	0.986987	1131	1133	-
vaso	vaso	NCMS000	1	1134	1138	-
de	de	SPS00	0.999919	1139	1141	-
plástico	plástico	NCMS000	0.75	1142	1150	-
.	.	Fp	1	1150	1151	-

Quita	quita	NP00SP0	1	1159	1164	Process
