"Annotation1-1"	"BeginTime"	"Annotation1-2"	"BeginTime"	"Annotation2-1"	"BeginTime"	"Annotation2-2"	"BeginTime"	"Annotation3-2"	"BeginTime"	"TranscriptionName"

NCMS000	8264	AQ0CS0	8758	perro	8264	gran	8758	A-SubjectiveAssessmentAttribute	8758	"What-Aptent-ES.eaf"
NCMS000	16372	AQ0MS0	16628	fondo	16372	blanco	16628	A-ColorAttribute	16628	"What-Aptent-ES.eaf"
NCMS000	22766	AQ0MS0	23017	coche	22766	blanco	23017	A-ColorAttribute	23017	"What-Aptent-ES.eaf"
NCMS000	22766	AQ0FS0	23519	coche	22766	alto	23519	A-SubjectiveAssessmentAttribute	23519	"What-Aptent-ES.eaf"
NCMS000	28539	AQ0CS0	29292	bolso	28539	azul	29292	A-ColorAttribute	29292	"What-Aptent-ES.eaf"
NCFS000	29041	AQ0CS0	29292	playa	29041	azul	29292	A-ColorAttribute	29292	"What-Aptent-ES.eaf"
NCFS000	29041	AQ0MS0	29794	playa	29041	blanco	29794	A-ColorAttribute	29794	"What-Aptent-ES.eaf"
NCMS000	54984	AQ0CS0	55191	bolsillo	54984	interior	55191	A-PositionalAttribute	55191	"What-Aptent-ES.eaf"
NCMS000	60365	AQ0FP0	61100	sol	60365	dorada	61100	A-ColorAttribute	61100	"What-Aptent-ES.eaf"
NCMS000	60855	AQ0FP0	61100	aviador	60855	dorada	61100	A-ColorAttribute	61100	"What-Aptent-ES.eaf"
NCMS000	166620	AQ0MS0	166910	paseo	166620	marítimo	166910	A-PositionalAttribute	166910	"What-Aptent-ES.eaf"
NCMS000	171098	AQ0MS0	171381	punto	171098	fijo	171381	A-PositionalAttribute	171381	"What-Aptent-ES.eaf"
NCMS000	198095	AQ0FS0	198725	rostro	198095	cierto	198725	A-SubjectiveAssessmentAttribute	198725	"What-Aptent-ES.eaf"
NCMP000	220704	AQ0CS0	221248	árbol	220704	abundante	221248	A-SubjectiveAssessmentAttribute	221248	"What-Aptent-ES.eaf"
NCFS000	228231	AQ0MS0	229242	montaña	228231	estrecho	229242	A-SubjectiveAssessmentAttribute	229242	"What-Aptent-ES.eaf"
NCMS000	229579	AQ0MS0	229916	sendero	229579	pedregoso	229916	A-SubjectiveAssessmentAttribute	229916	"What-Aptent-ES.eaf"
NCMS000	234225	AQ0FS0	234795	hombre	234225	mediano	234795	A-SubjectiveAssessmentAttribute	234795	"What-Aptent-ES.eaf"
NCFS000	235080	AQ0FS0	235935	edad	235080	canoso	235935	A-ColorAttribute	235935	"What-Aptent-ES.eaf"
NCFS000	235650	AQ0FS0	235935	barba	235650	canoso	235935	A-ColorAttribute	235935	"What-Aptent-ES.eaf"
NCMS000	238215	AQ0CS0	238500	banco	238215	individual	238500	A-SubjectiveAssessmentAttribute	238500	"What-Aptent-ES.eaf"
NCMS000	243630	AQ0CS0	243915	dedo_índice	243630	índice	243915	A-PositionalAttribute	243915	"What-Aptent-ES.eaf"
NCFS000	244770	AQ0FS0	245055	mano	244770	izquierdo	245055	A-PositionalAttribute	245055	"What-Aptent-ES.eaf"
NCMS000	252108	AQ0MS0	252676	vaso	252108	nervioso	252676	A-StateOfMind	252676	"What-Aptent-ES.eaf"
NCMS000	254948	AQ0MS0	255232	café	254948	solo	255232	A-SubjectiveAssessmentAttribute	255232	"What-Aptent-ES.eaf"
NCMP000	269755	AQ0CP0	270028	banco	269755	individual	270028	A-SubjectiveAssessmentAttribute	270028	"What-Aptent-ES.eaf"
NCFS000	274942	AQ0FS0	275215	pierna	274942	derecho	275215	A-PositionalAttribute	275215	"What-Aptent-ES.eaf"
NCFS000	274942	AQ0MS0	275488	pierna	274942	nervioso	275488	A-StateOfMind	275488	"What-Aptent-ES.eaf"
NCMS000	286255	AQ0MS0	286518	bolsillo	286255	trasero	286518	A-PositionalAttribute	286518	"What-Aptent-ES.eaf"
NCCS000	406677	AQ0FS0	406970	joven	406677	pelirrojo	406970	A-ColorAttribute	406970	"What-Aptent-ES.eaf"
NCMS000	409021	AQ0CS0	409314	ordenador	409021	portátil	409314	A-SubjectiveAssessmentAttribute	409314	"What-Aptent-ES.eaf"
NCMS000	514691	AQ0MS0	514964	abrigo	514691	marrón	514964	A-ColorAttribute	514964	"What-Aptent-ES.eaf"
NCMS000	515783	AQ0MS0	516056	fular	515783	negro	516056	A-ColorAttribute	516056	"What-Aptent-ES.eaf"
NCMS000	516602	AQ0MS0	516875	estampado	516602	blanco	516875	A-ColorAttribute	516875	"What-Aptent-ES.eaf"
NCFS000	517967	AQ0FS0	518240	pendiente	517967	lleno	518240	A-SubjectiveAssessmentAttribute	518240	"What-Aptent-ES.eaf"
NCFP000	536780	AQ0MP0	537692	vuelta	536780	mismo	537692		537692	"What-Aptent-ES.eaf"
NP00SP0	652140	AQ0FS0	652880	jess	652140	atento	652880	A-IntentionalPsychologicalProcess	652880	"What-Aptent-ES.eaf"
NP00G00	684700	AQ0MS0	685153	james	684700	reflexivo	685153	A-IntentionalPsychologicalProcess	685153	"What-Aptent-ES.eaf"
NCFS000	756171	AQ0FS0	756442	mujer	756171	negro	756442	A-ColorAttribute	756442	"What-Aptent-ES.eaf"
NCMS000	758068	AQ0MS0	758339	móvil	758068	sujeto	758339	A-PositionalAttribute	758339	"What-Aptent-ES.eaf"
NCMS000	759965	AQ0MS0	760236	hombro	759965	izquierdo	760236	A-PositionalAttribute	760236	"What-Aptent-ES.eaf"
NP00SP0	780274	AQ0FS0	781132	zoé	780274	próximo	781132	A-PositionalAttribute	781132	"What-Aptent-ES.eaf"
NCMS000	782848	AQ0MS0	783134	fondo	782848	blanco	783134	A-ColorAttribute	783134	"What-Aptent-ES.eaf"
NCFS000	2883	AQ0CS0	3642	pareja	2883	gran	3642	A-SubjectiveAssessmentAttribute	3642	"Aristia-ES.eaf"
NCMS000	7437	AQ0MS0	7690	sentido	7437	contrario	7690	A-SubjectiveAssessmentAttribute	7690	"Aristia-ES.eaf"
NCMS000	8449	AQ0CS0	8955	día	8449	gris	8955	A-RadiatingLight	8955	"Aristia-ES.eaf"
NCFS000	17999	AQ0FS0	18332	pantalla	17999	blanco	18332	A-ColorAttribute	18332	"Aristia-ES.eaf"
