"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Location,3324,playa,3324,NCFS000,3324,"Aptent-ES.eaf"
Location,4559,cielo,4559,NCMS000,4559,"Aptent-ES.eaf"
Quantifier,4806,parcialmente,4806,RG,4806,"Aptent-ES.eaf"
A-RadiatingLight,5053,nublar,5053,VMP00SM,5053,"Aptent-ES.eaf"
Motion,5794,cruzar,5794,VMIP3P0,5794,"Aptent-ES.eaf"
Location,6535,arena,6535,NCFS000,6535,"Aptent-ES.eaf"
Human,7029,pareja,7029,NCFS000,7029,"Aptent-ES.eaf"
Walking,7523,pasear,7523,VMIP3S0,7523,"Aptent-ES.eaf"
Animal,8264,perro,8264,NCMS000,8264,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,8758,gran,8758,AQ0CS0,8758,"Aptent-ES.eaf"
-,9005,tamaño,9005,NCMS000,9005,"Aptent-ES.eaf"
Human,9746,hombre,9746,NCMS000,9746,"Aptent-ES.eaf"
Walking,9993,hacer_footing,9993,VMG0000,9993,"Aptent-ES.eaf"
Animal,11367,perro,11367,NCMS000,11367,"Aptent-ES.eaf"
Smelling,11674,olisquear,11674,VMIP3S0,11674,"Aptent-ES.eaf"
Hearing,13812,oír,13812,VMN0000,13812,"Aptent-ES.eaf"
RadiatingSound,14324,silbido,14324,NCMS000,14324,"Aptent-ES.eaf"
Walking,14580,correr,14580,VMIP3S0,14580,"Aptent-ES.eaf"
Human,15348,amo,15348,NCMP000,15348,"Aptent-ES.eaf"
A-FilmLanguage,15860,sobreimprimir,15860,VMP00SM,15860,"Aptent-ES.eaf"
FilmLanguage,16372,fondo,16372,NCMS000,16372,"Aptent-ES.eaf"
A-ColorAttribute,16628,blanco,16628,AQ0MS0,16628,"Aptent-ES.eaf"
Location,21762,playa,21762,NCFS000,21762,"Aptent-ES.eaf"
Motion,22264,detener,22264,VMIP3S0,22264,"Aptent-ES.eaf"
-,22766,coche,22766,NCMS000,22766,"Aptent-ES.eaf"
A-ColorAttribute,23017,blanco,23017,AQ0MS0,23017,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,23519,alto,23519,AQ0FS0,23519,"Aptent-ES.eaf"
-,23770,gama,23770,NCFS000,23770,"Aptent-ES.eaf"
Motion,24272,salir,24272,VMIF3S0,24272,"Aptent-ES.eaf"
Human,24774,conductor,24774,NCMS000,24774,"Aptent-ES.eaf"
Communication,25025,hablar,25025,VMG0000,25025,"Aptent-ES.eaf"
Object,25778,móvil,25778,NCMS000,25778,"Aptent-ES.eaf"
Putting,26280,guardar,26280,VMIF3S0,26280,"Aptent-ES.eaf"
Object,26782,maletín,26782,NCMS000,26782,"Aptent-ES.eaf"
Location,27535,maletero,27535,NCMS000,27535,"Aptent-ES.eaf"
Touching,28037,coger,28037,VMIF3S0,28037,"Aptent-ES.eaf"
Clothing,28539,bolso,28539,NCMS000,28539,"Aptent-ES.eaf"
Location,29041,playa,29041,NCFS000,29041,"Aptent-ES.eaf"
A-ColorAttribute,29292,azul,29292,AQ0CS0,29292,"Aptent-ES.eaf"
A-ColorAttribute,29794,blanco,29794,AQ0MS0,29794,"Aptent-ES.eaf"
Process,52500,colgar,52500,VMIP3S0,52500,"Aptent-ES.eaf"
