"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Motion,5794,cruzar,5794,VMIP3P0,5794,"What-Aptent-ES.eaf"
Walking,7523,pasear,7523,VMIP3S0,7523,"What-Aptent-ES.eaf"
Walking,9993,hacer_footing,9993,VMG0000,9993,"What-Aptent-ES.eaf"
Smelling,11674,olisquear,11674,VMIP3S0,11674,"What-Aptent-ES.eaf"
Hearing,13812,oír,13812,VMN0000,13812,"What-Aptent-ES.eaf"
Walking,14580,correr,14580,VMIP3S0,14580,"What-Aptent-ES.eaf"
Motion,22264,detener,22264,VMIP3S0,22264,"What-Aptent-ES.eaf"
Motion,24272,salir,24272,VMIF3S0,24272,"What-Aptent-ES.eaf"
Communication,25025,hablar,25025,VMG0000,25025,"What-Aptent-ES.eaf"
Process,26280,guardar,26280,VMIF3S0,26280,"What-Aptent-ES.eaf"
Process,28037,coger,28037,VMIF3S0,28037,"What-Aptent-ES.eaf"
Process,52500,colgar,52500,VMIP3S0,52500,"What-Aptent-ES.eaf"
Process,52914,guardar,52914,VMIP3S0,52914,"What-Aptent-ES.eaf"
BodyMotion,53949,llevar,53949,VMIP3S0,53949,"What-Aptent-ES.eaf"
Process,59385,poner,59385,VMIP3S0,59385,"What-Aptent-ES.eaf"
Seeing,61590,mirar,61590,VMIP3S0,61590,"What-Aptent-ES.eaf"
Walking,67233,caminar,67233,VMG0000,67233,"What-Aptent-ES.eaf"
Process,68528,llevar,68528,VMIP3S0,68528,"What-Aptent-ES.eaf"
BodyMotion,92357,tender,92357,VMIP3S0,92357,"What-Aptent-ES.eaf"
Process,95030,dejar,95030,VMIP3S0,95030,"What-Aptent-ES.eaf"
BodyMotion,99420,permanecer,99420,VMIP3S0,99420,"What-Aptent-ES.eaf"
BodyMotion,101202,llevar,101202,VMIP3S0,101202,"What-Aptent-ES.eaf"
BodyMotion,103578,extender,103578,VMIP3S0,103578,"What-Aptent-ES.eaf"
BodyMotion,106548,recoger,106548,VMIP3S0,106548,"What-Aptent-ES.eaf"
Motion,108330,caer,108330,VMN0000,108330,"What-Aptent-ES.eaf"
BodyMotion,114905,incorporar,114905,VMIP3S0,114905,"What-Aptent-ES.eaf"
Process,115315,coger,115315,VMIP3S0,115315,"What-Aptent-ES.eaf"
Process,157500,dejar,157500,VMIP3S0,157500,"What-Aptent-ES.eaf"
BodyMotion,159292,levantar,159292,VMIP3S0,159292,"What-Aptent-ES.eaf"
Motion,163430,alejar,163430,VMIP3S0,163430,"What-Aptent-ES.eaf"
Seeing,165170,mirar,165170,VMG0000,165170,"What-Aptent-ES.eaf"
Motion,169683,detener,169683,VMIP3S0,169683,"What-Aptent-ES.eaf"
Seeing,170249,centrar_su_atención,170249,VMIP3S0,170249,"What-Aptent-ES.eaf"
Motion,172513,volar,172513,VMIP3S0,172513,"What-Aptent-ES.eaf"
Motion,174211,agitar,174211,VMG0000,174211,"What-Aptent-ES.eaf"
Seeing,179820,dirigir_la_mirada,179820,VMIP3S0,179820,"What-Aptent-ES.eaf"
Motion,187420,dar,187420,VMIP3S0,187420,"What-Aptent-ES.eaf"
Seeing,189128,mirar,189128,VMN0000,189128,"What-Aptent-ES.eaf"
Motion,190348,acercar,190348,VMIP3S0,190348,"What-Aptent-ES.eaf"
Process,198410,denotar,198410,VMIP3S0,198410,"What-Aptent-ES.eaf"
Walking,199670,caminar,199670,VMIP3S0,199670,"What-Aptent-ES.eaf"
Process,201875,prestar,201875,VMN0000,201875,"What-Aptent-ES.eaf"
Motion,204395,surcar,204395,VMIP3P0,204395,"What-Aptent-ES.eaf"
BodyMotion,208796,inclinar,208796,VMIP3S0,208796,"What-Aptent-ES.eaf"
Process,209684,recoger,209684,VMN0000,209684,"What-Aptent-ES.eaf"
Process,210868,volver,210868,VMIP3S0,210868,"What-Aptent-ES.eaf"
